 0:00.000        0     "    0    0    0	## time resolution: 250
    0:00.000        0          0    0    0
    1:40.952    25238     (    0    0    0	7.3728
    1:45.968    26492     )    1    0    0	7.3728
    1:50.876    27719     (    0    0    0	6.4806
    1:55.892    28973     )    1    0    0	6.4806
    2:01.000    30250     (    0    0    0	9.6233
    2:06.016    31504     )    1    0    0	9.6233
    2:10.940    32735     (    0    0    0	11.6136
    2:15.956    33989     )    1    0    0	11.6136
    2:20.900    35225     (    0    0    0	6.4793
    2:25.916    36479     )    1    0    0	6.4793
    2:31.024    37756     (    0    0    0	8.3231
    2:36.040    39010     )    1    0    0	8.3231
    2:40.980    40245     (    0    0    0	11.6519
    2:45.996    41499     )    1    0    0	11.6519
    2:50.920    42730     (    0    0    0	7.3991
    2:55.936    43984     )    1    0    0	7.3991
    3:20.960    50240     (    0    0    0	6.4962
    3:25.976    51494     )    1    0    0	6.4962
    3:30.936    52734     (    0    0    0	6.4975
    3:35.952    53988     )    1    0    0	6.4975
    3:40.908    55227     (    0    0    0	6.5026
    3:45.924    56481     )    1    0    0	6.5026
    4:21.088    65272     (    0    0    0	7.342
    4:26.104    66526     )    1    0    0	7.342
    4:30.896    67724     (    0    0    0	7.3515
    4:35.912    68978     )    1    0    0	7.3515
    4:40.988    70247     (    0    0    0	7.3453
    4:46.004    71501     )    1    0    0	7.3453
    5:20.984    80246     (    0    0    0	8.3248
    5:26.000    81500     )    1    0    0	8.3248
    5:30.960    82740     (    0    0    0	8.2958
    5:35.976    83994     )    1    0    0	8.2958
    5:40.932    85233     (    0    0    0	8.3248
    5:45.948    86487     )    1    0    0	8.3248
    6:20.964    95241     (    0    0    0	9.5916
    6:25.980    96495     )    1    0    0	9.5916
    6:30.904    97726     (    0    0    0	9.629
    6:35.920    98980     )    1    0    0	9.629
    6:40.944   100236     (    0    0    0	9.5896
    6:45.960   101490     )    1    0    0	9.5896
    7:20.940   110235     (    0    0    0	11.6112
    7:25.956   111489     )    1    0    0	11.6112
    7:30.900   112725     (    0    0    0	11.6185
    7:35.916   113979     )    1    0    0	11.6185
    7:40.940   115235     (    0    0    0	11.6136
    7:45.956   116489     )    1    0    0	11.6136
