  Seconds   Minutes     Hours  Type  Sub Chan  Num	Aux
    0.000   0.00000 0.0000000     "    0    0    0	## time resolution: 250
    0.000   0.00000 0.0000000          0    0    0
  101.360   1.68933 0.0281556     (    0    0    0	7.3469
  106.376   1.77293 0.0295489     )    1    0    0	7.3469
  111.300   1.85500 0.0309167     (    0    0    0	6.4735
  116.316   1.93860 0.0323100     )    1    0    0	6.4735
  121.292   2.02153 0.0336922     (    0    0    0	9.5979
  126.308   2.10513 0.0350856     )    1    0    0	9.5979
  131.332   2.18887 0.0364811     (    0    0    0	11.6586
  136.348   2.27247 0.0378744     )    1    0    0	11.6586
  141.388   2.35647 0.0392744     (    0    0    0	6.4962
  146.404   2.44007 0.0406678     )    1    0    0	6.4962
  151.348   2.52247 0.0420411     (    0    0    0	8.3248
  156.364   2.60607 0.0434344     )    1    0    0	8.3248
  161.320   2.68867 0.0448111     (    0    0    0	11.6136
  166.336   2.77227 0.0462044     )    1    0    0	11.6136
  171.276   2.85460 0.0475767     (    0    0    0	7.35
  176.292   2.93820 0.0489700     )    1    0    0	7.35
  201.336   3.35560 0.0559267     (    0    0    0	6.519
  206.352   3.43920 0.0573200     )    1    0    0	6.519
  211.292   3.52153 0.0586922     (    0    0    0	6.4962
  216.308   3.60513 0.0600856     )    1    0    0	6.4962
  221.268   3.68780 0.0614633     (    0    0    0	6.4806
  226.284   3.77140 0.0628567     )    1    0    0	6.4806
  261.464   4.35773 0.0726289     (    0    0    0	7.3686
  266.480   4.44133 0.0740222     )    1    0    0	7.3686
  271.252   4.52087 0.0753478     (    0    0    0	7.35
  276.268   4.60447 0.0767411     )    1    0    0	7.35
  281.328   4.68880 0.0781467     (    0    0    0	7.3469
  286.344   4.77240 0.0795400     )    1    0    0	7.3469
  321.340   5.35567 0.0892611     (    0    0    0	8.354
  326.356   5.43927 0.0906544     )    1    0    0	8.354
  331.300   5.52167 0.0920278     (    0    0    0	8.3855
  336.316   5.60527 0.0934211     )    1    0    0	8.3855
  341.356   5.68927 0.0948211     (    0    0    0	8.3231
  346.372   5.77287 0.0962144     )    1    0    0	8.3231
  381.388   6.35647 0.1059411     (    0    0    0	9.5896
  386.404   6.44007 0.1073344     )    1    0    0	9.5896
  391.328   6.52213 0.1087022     (    0    0    0	9.5896
  396.344   6.60573 0.1100956     )    1    0    0	9.5896
  401.268   6.68780 0.1114633     (    0    0    0	9.631
  406.284   6.77140 0.1128567     )    1    0    0	9.631
  441.384   7.35640 0.1226067     (    0    0    0	11.6136
  446.400   7.44000 0.1240000     )    1    0    0	11.6136
  451.340   7.52233 0.1253722     (    0    0    0	11.6112
  456.356   7.60593 0.1267656     )    1    0    0	11.6112
  461.296   7.68827 0.1281378     (    0    0    0	11.7395
  466.312   7.77187 0.1295311     )    1    0    0	11.7395
